Name,Type,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,BillingLatitude,BillingLongitude,BillingGeocodeAccuracy,ShippingStreet,ShippingCity,ShippingState,ShippingPostalCode,ShippingCountry,ShippingLatitude,ShippingLongitude,ShippingGeocodeAccuracy,Phone,Fax,AccountNumber,Website,Sic,Industry,AnnualRevenue,NumberOfEmployees,Ownership,TickerSymbol,Description,Rating,Site,Jigsaw,AccountSource,SicDesc,OrderApi__Account_Email__c,OrderApi__Annual_Engagement_Score__c,OrderApi__Disable_Badge_Flow_down__c,OrderApi__Lifetime_Engagement_Score__c,OrderApi__Outstanding_Credits__c,OrderApi__Price_Rules_Usages__c,OrderApi__Primary_Contact__c,CPBase__Restrict_Assignment_Visibility__c,DonorApi__Accepts_Unsolicited_Proposals__c,DonorApi__Active_Recurring_Gift__c,DonorApi__Annual_Giving_Total__c,DonorApi__Auto_Calculate_Household_Greetings__c,DonorApi__Classification__c,DonorApi__Do_Not_Solicit__c,DonorApi__First_Gift_Date__c,DonorApi__Funding_Cycle__c,DonorApi__Gift_Opportunities__c,DonorApi__Gifts_Outstanding__c,DonorApi__Gifts_Received__c,DonorApi__Gives_Anonymously__c,DonorApi__Has_Open_Gift_Opportunity__c,DonorApi__Household_Default_Greeting_Type__c,DonorApi__Household_Email__c,DonorApi__Household_Formal_Greeting__c,DonorApi__Household_Informal_Greeting__c,DonorApi__Largest_Gift__c,DonorApi__Last_Gift_Amount__c,DonorApi__Last_Gift_Date__c,DonorApi__Matches_Employee_Giving__c,DonorApi__Next_Funding_Cycle_Month__c,DonorApi__Num_Open_Gift_Opportunities__c,DonorApi__Organizational_Recognition_Name__c,DonorApi__Primary_Relationship_Manager__c,OrderApi__Restrict_Assignment_Visibility__c,OrderApi__Privacy_Settings__c,Errors,Id
Guest Checkout Account Test1,Non-Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,false,false,false,,false,,false,,,,,,false,false,Household Informal Greeting,,,,,,,false,,,,,false,private,,001R000001kkqybIAA
Teagan O'Bar Household,Non-Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,teagano@moaa.org,,false,,,,003R000001XMzyaIAD,false,false,false,,false,,false,,,,,,false,false,Household Informal Greeting,,,,,,,false,,,,,false,private,,001R000001kkqycIAA
Ellen Example_ReJoin Household,Non-Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,"{""a1C6A000001Bn7cUAC"":2}",003R000001XMzybIAD,false,false,false,,false,,false,,,,,,false,false,Household Informal Greeting,,,,,,,false,,,,,false,private,,001R000001kkqydIAA
FON Example_ReJoin Household,Non-Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fonrejoin@mailinator.com,,false,,,"{""a1C6A000001Bn7cUAC"":1}",003R000001XMzycIAD,false,false,false,,false,,false,,,,,,false,false,Household Informal Greeting,,,,,,,false,,,,,false,private,,001R000001kkqyeIAA
Fon Example_ReJoin Household,Non-Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,examplerejoin@mailinator.com,,false,,,"{""a1C6A000001Bn7cUAC"":4,""a1C6A000001w9oeUAA"":2}",003R000001XMzydIAD,false,false,false,,false,,false,,,,,,false,false,Household Informal Greeting,,,,,,,false,,,,,false,private,,001R000001kkqyfIAA
JANE DOE Household,Non-Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,robinmay09@gmail.com,,false,,,,003R000001XMzyeIAD,false,false,false,,false,,false,,,,,,false,false,Household Informal Greeting,,,,,,,false,,,,,false,private,,001R000001kkqygIAA
Robin May McMorris -test Household,Non-Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,robinmc.zphib@gmail.com,,false,,,,003R000001XMzygIAD,false,false,false,,false,,false,,,,,,false,false,Household Informal Greeting,,,,,,,false,,,,,false,private,,001R000001kkqyhIAA
FON Fischer Household,Non-Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,"{""a1C6A000001xEPeUAM"":4,""a1C6A000001Bn7cUAC"":9,""a1C6A000001Bn4tUAC"":4}",003R000001XMzyhIAD,false,false,false,,false,,false,,,,,,false,false,Household Informal Greeting,,,,,,,false,,,,,false,private,,001R000001kkqyiIAA
asdfasdf asdfasdfasdfasdf Household,Non-Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aardfasdfsaon@fonteva.com,,false,,,,003R000001XMzykIAD,false,false,false,,false,,false,,,,,,false,false,Household Informal Greeting,,,,,,,false,,,,,false,private,,001R000001kkqyjIAA
asdfasdf asdfasdf Household,Non-Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aa34234safron@fonteva.com,,false,,,,003R000001XMzylIAD,false,false,false,,false,,false,,,,,,false,false,Household Informal Greeting,,,,,,,false,,,,,false,private,,001R000001kkqykIAA
