Id,IsDeleted,MasterRecordId,AccountId,LastName,FirstName,Salutation,Name,OtherStreet,OtherCity,OtherState,OtherPostalCode,OtherCountry,OtherLatitude,OtherLongitude,OtherGeocodeAccuracy,OtherAddress,MailingStreet,MailingCity,MailingState,MailingPostalCode,MailingCountry,MailingLatitude,MailingLongitude,MailingGeocodeAccuracy,Phone,Fax,MobilePhone,HomePhone,OtherPhone,AssistantPhone,ReportsToId,Email,Title,Department,AssistantName,LeadSource,Birthdate,Description,HasOptedOutOfEmail,HasOptedOutOfFax,DoNotCall,CreatedDate,LastModifiedDate,SystemModstamp,LastActivityDate,LastCURequestDate,LastCUUpdateDate,LastViewedDate,LastReferencedDate,EmailBouncedReason,EmailBouncedDate,IsEmailBounced,PhotoUrl,Jigsaw,JigsawContactId,IndividualId,PagesApi__Site__c,OrderApi__Annual_Engagement_Score__c,OrderApi__Assistant_Do_Not_Call__c,OrderApi__Assistant_Email_Opt_Out__c,OrderApi__Assistant_Email__c,OrderApi__Badges__c,OrderApi__Home_Do_Not_Call__c,OrderApi__Is_Primary_Contact__c,OrderApi__Lifetime_Engagement_Score__c,OrderApi__Mobile_Do_Not_Call__c,OrderApi__Other_Do_Not_Call__c,OrderApi__Other_Email_Opt_Out__c,OrderApi__Other_Email__c,OrderApi__Outstanding_Credits__c,OrderApi__Personal_Email_Opt_Out__c,OrderApi__Personal_Email__c,OrderApi__Potential_Duplicate_Contacts__c,OrderApi__Preferred_Email_Type__c,OrderApi__Preferred_Email__c,OrderApi__Preferred_Phone_Type__c,OrderApi__Preferred_Phone__c,OrderApi__Price_Rules_Usages__c,OrderApi__Sync_Address_Billing__c,OrderApi__Sync_Address_Shipping__c,OrderApi__Sync_Email__c,OrderApi__Sync_Phone__c,OrderApi__Work_Do_Not_Call__c,OrderApi__Work_Email_Opt_Out__c,OrderApi__Work_Email__c,OrderApi__Work_Phone__c,DonorApi__Active_Recurring_Gift__c,DonorApi__Auto_Calculate_Contact_Greetings__c,DonorApi__Auto_Calculate_Current_Ask_Amount__c,DonorApi__Current_Ask_Amount__c,DonorApi__Deceased__c,DonorApi__Default_Greeting_Type__c,DonorApi__Default_Greeting__c,DonorApi__Direct_Mail_Opt_Out__c,DonorApi__Do_Not_Solicit__c,DonorApi__First_Gift_Date__c,DonorApi__Formal_Greeting__c,DonorApi__Gift_Opportunities__c,DonorApi__Gifts_Outstanding__c,DonorApi__Gifts_Received__c,DonorApi__Gifts_Value__c,DonorApi__Include_in_Household_Greetings__c,DonorApi__Languages__c,DonorApi__Largest_Gift__c,DonorApi__Last_Gift_Amount__c,DonorApi__Last_Gift_Date__c,DonorApi__Personal_Greeting__c,DonorApi__Personal_Recognition_Name__c,DonorApi__Primary_Relationship_Manager__c,DonorApi__Primary__c,DonorApi__Spouse__c,DonorApi__Suffix__c,OrderApi__Privacy_Settings__c,PagesApi__Cookie_Usage_Accepted__c,OrderApi__Edit_Community_Company_Info__c,OrderApi__Preferred_Language__c,MiddleName,Suffix,OtherStateCode,OtherCountryCode,MailingStateCode,MailingCountryCode,GDO_Data_Region__c,SF_CONTACT__c,Member_Since__c,Annual_Donations__c,Lifetime_Donations__c,Annual_Total_Spent__c,Lifetime_Total_Spent__c,Customer_Portal_User__c,Active_Membership_Types__c,DirectoryApi__Directory_Opt_Out__c,Role__c,Save_the_Whales_Donation_Levels__c,AsklandMemorialScholarshipDonationLevels__c,Donation_Programs__c,I_agree_to_terms_and_Conditions_above__c,Resident__c,Attendee_Name__c,Do_you_require_any_accessibility_Accomod__c,FON_Are_you_a_Member__c,State_Chapter__c,Local_Chapter__c,FontevaReports__Languages__c,FontevaReports__Level__c,DRCTS__Directory_Preferences__c,Site_Network_ID__c,MasterRecord.Id,Account.Id,ReportsTo.Id,Individual.Name,PagesApi__Site__r.Name,DonorApi__Primary_Relationship_Manager__r.Id,DonorApi__Spouse__r.Id,Customer_Portal_User__r.Name
0034W00002AU8VpQAL,false,,0014W000021fm1BQAQ,Lewis,Caroline,,Caroline Lewis,1571 W Lambert Rd,La Habra,California,90631,United States,,,,[object Object],45 Mccouns Ln,Oyster Bay,New York,11771,United States,40.868473,-73.523033,Address,(779)-721-4492,,(779)-721-4492,,,,,carolinelewis@mailinator.com,,,,,,,false,false,false,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,,,,,,,,false,/services/images/photo/0034W00002AU8VpQAL,,,,,0,false,false,,FON-Organizational Member Badge,false,false,0,false,false,false,,,false,carolinelewis@mailinator.com,,Personal,carolinelewis@mailinator.com,Mobile,(779)-721-4492,"{""a1C1I000000DSQNUA4"":1,""a1C1I000000DSQWUA4"":2,""a1C1I000000DSOOUA4"":1}",false,false,false,false,false,false,carolinelewis@mailinator.com,,false,false,false,,false,Personal Greeting,,false,false,,,0,0,0,0,false,,,0,,,,,false,,,private,false,false,,,,CA,US,NY,US,,0034W000029mQHzQAM,2014-12-04,,,55,292.5,,,false,,,,,false,false,,,,,,,,,,,0014W000021fm1BQAQ,,,,,,
0034W00002AU8VqQAL,false,,0014W000021fm1BQAQ,Pratt,Anne,,Anne Pratt,775 Station street,Herndon,Virginia,20170,United States,,,,[object Object],3368 Black Creek Rd,Muskegon,Michigan,49444,United States,43.191416,-86.180186,Address,(337)-708-2428,,(337)-708-2428,,,,,annepratt@mailinator.com,General Manager,,,,,,false,false,false,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,,,,,,,,false,/services/images/photo/0034W00002AU8VqQAL,,,,,25,false,false,,"FON-Annual Conference Attendee Badge,FON-Individual Member Badge,FON-Organizational Member Badge",false,true,125,false,false,false,,,false,annepratt@mailinator.com,,Personal,annepratt@mailinator.com,Mobile,(337)-708-2428,"{""a1C1I000000DSQFUA4"":1,""a1C1I000000DSOuUAO"":1,""a1C1I000000DSP1UAO"":1,""a1C1I000000DSOzUAO"":1,""a1C1I000000DSOxUAO"":1,""a1C1I000000DSOTUA4"":1,""a1C1I000000DSOwUAO"":1,""a1C1I000000DSOyUAO"":1,""a1C1I000000DSP0UAO"":1,""a1C1I000000DSP8UAO"":1,""a1C1I000000DSQZUA4"":1}",false,false,false,false,false,false,annepratt@mailinator.com,,false,false,false,,false,Personal Greeting,,false,false,,,0,0,0,0,false,,,0,,,,,false,,,public,false,false,,,,VA,US,MI,US,,0034W000029mQI0QAM,2014-05-12,,,35,265,,Student Membership,false,,,,,false,false,,,,,,,,,,,0014W000021fm1BQAQ,,,,,,
0034W00002AU8VrQAL,false,,0014W000021fm1BQAQ,Jordan,Harvey,,Harvey Jordan,3/11 Ramachandra Road,Chennai,Tamil Nadu,600004,India,,,,[object Object],7868 E Via Marina,Scottsdale,Arizona,85258,United States,33.55317,-111.911306,Address,(595)-733-6216,,(595)-733-6216,,,,,harveyjordan@mailinator.com,,,,,,,false,false,false,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,,,,,,,,false,/services/images/photo/0034W00002AU8VrQAL,,,,,0,false,false,,FON-Organizational Member Badge,false,false,100,false,false,false,,0,false,harveyjordan@mailinator.com,,Personal,harveyjordan@mailinator.com,Mobile,(595)-733-6216,"{""a1C1I000000DSOZUA4"":1,""a1C1I000000DSPyUAO"":1,""a1C1I000000DSPvUAO"":1,""a1C1I000000DSQ1UAO"":1,""a1C6A000001Bn7OUAS"":4}",false,false,true,true,false,false,harveyjordan@mailinator.com,,false,false,false,,false,Personal Greeting,,false,false,,,0,0,0,0,false,,,0,,,,,false,,,private,false,false,,,,TN,IN,AZ,US,,0034W000029mQI1QAM,2014-06-14,,,100,15100,,,false,,,,,false,false,,,,,,,,,,,0014W000021fm1BQAQ,,,,,,
0034W00002AU8VsQAL,false,,0014W000021fm1CQAQ,Owens,James,,James Owens,221-241  BECKENHAM ROAD,BECKENHAM,,BR3 4UF,United Kingdom,,,,[object Object],71  BEAUMONT ROAD,ORPINGTON,,BR5 1JH,United Kingdom,51.384305420976524,0.07914013195030194,ExtendedZip,+44 3302 300864,,+44 3302 300864,,,,,jamesowens@mailinator.com,Assistant manager,,,,,,false,false,false,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,,,,,,,,false,/services/images/photo/0034W00002AU8VsQAL,,,,,,false,false,,,false,false,,false,false,false,,,false,jamesowens@mailinator.com,,Personal,jamesowens@mailinator.com,Mobile,+44 3302 300864,"{""a1C1I000000DSOdUAO"":1}",false,false,false,false,false,false,jamesowens@mailinator.com,,false,false,false,,false,Personal Greeting,,false,false,,,0,0,0,0,false,,,0,,,,,false,,,private,false,false,,,,,GB,,GB,,0034W000029mQI2QAM,,,,0,0,,,false,,,,,false,false,,,,,,,,,,,0014W000021fm1CQAQ,,,,,,
0034W00002AU8VtQAL,false,,0014W000021fm1CQAQ,Copeland,Delia,,Delia Copeland,4 ORCHARD COTTAGE ORCHARD GREEN,ORPINGTON,,BR6 8AA,United Kingdom,,,,[object Object],2 CLUB LANGLEY HAWKSBROOK LANE,BECKENHAM,,BR3 3SR,United Kingdom,51.388511259733725,-0.022490358057173,ExtendedZip,+44 8890 980971,,+44 8890 980971,,,,,deliacopeland@mailinator.com,,,,,,,false,false,false,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,,,,,,,,false,/services/images/photo/0034W00002AU8VtQAL,,,,,25,false,false,,FON-Annual Conference Attendee Badge,false,false,25,false,false,false,,,false,deliacopeland@mailinator.com,,Personal,deliacopeland@mailinator.com,Mobile,+44 8890 980971,"{""a1C1I000000DSQXUA4"":3,""a1C1I000000DSP9UAO"":1,""a1C1I000000DSP6UAO"":1,""a1C1I000000DSP2UAO"":1,""a1C1I000000DSOxUAO"":1,""a1C1I000000DSOUUA4"":1,""a1C1I000000DSP0UAO"":1,""a1C1I000000DSP5UAO"":1,""a1C1I000000DSP8UAO"":1,""a1C1I000000DSOuUAO"":1}",false,false,false,false,false,false,deliacopeland@mailinator.com,,false,false,false,,false,Personal Greeting,,false,false,,,0,0,0,0,false,,,0,,,,,false,,,private,false,false,,,,,GB,,GB,,0034W000029mQI3QAM,2014-10-04,,,,605,,,false,,,,,false,false,,,,,,,,,,,0014W000021fm1CQAQ,,,,,,
0034W00002AU8VuQAL,false,,0014W000021fm1CQAQ,Flores,Delia,,Delia Flores,6  KINGS ROAD,ORPINGTON,,BR6 9LH,United Kingdom,,,,[object Object],4 2 WYEFIELD THE KNOLL,BECKENHAM,,BR3 5JW,United Kingdom,51.40922644200244,-0.022746948186087048,ExtendedZip,+44 2637 596845,,+44 2637 596845,,,,,deliaflores@mailinator.com,Vice chairman,,,,,,false,false,false,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,,,,,,,,false,/services/images/photo/0034W00002AU8VuQAL,,,,,25,false,false,,"FON-Annual Conference Attendee Badge,FON-Individual Member Badge",false,false,125,false,false,false,,,false,deliaflores@mailinator.com,,Personal,deliaflores@mailinator.com,Mobile,+44 2637 596845,"{""a1C1I000000DSQWUA4"":1,""a1C1I000000DSPeUAO"":1,""a1C1I000000DSPZUA4"":1,""a1C1I000000DSPUUA4"":1,""a1C1I000000DSPQUA4"":1,""a1C1I000000DSQMUA4"":1,""a1C1I000000DSOXUA4"":1,""a1C1I000000DSPTUA4"":1,""a1C1I000000DSPWUA4"":1,""a1C1I000000DSPaUAO"":1,""a1C1I000000DSPfUAO"":1}",false,false,false,false,false,false,deliaflores@mailinator.com,,false,false,false,,false,Personal Greeting,,false,false,,,0,0,0,0,false,,,0,,,,,false,,,private,false,false,,,,,GB,,GB,,0034W000029mQI4QAM,,,,112.5,418,,Associate Membership,false,,,,,false,false,,,,,,,,,,,0014W000021fm1CQAQ,,,,,,
0034W00002AU8VvQAL,false,,0014W000021fm1CQAQ,Curtis,Elijah,,Elijah Curtis,BROMLEY VALLEY GYMNASTIC CENTRE  CHIPPERFIELD ROAD,ORPINGTON,,BR5 2QR,United Kingdom,,,,[object Object],125  STANHOPE GROVE,BECKENHAM,,BR3 3HL,United Kingdom,51.39571610162323,-0.035405119208749156,ExtendedZip,+44 1432 417340,,+44 1432 417340,,,,,elijahcurtis@mailinator.com,President,,,,,,false,false,false,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,,,,,,,,false,/services/images/photo/0034W00002AU8VvQAL,,,,,25,false,false,,"FON-Annual Conference Attendee Badge,FON-Individual Member Badge",false,false,125,false,false,false,,,false,elijahcurtis@mailinator.com,,Personal,elijahcurtis@mailinator.com,Mobile,+44 1432 417340,"{""a1C1I000000DSQZUA4"":1,""a1C1I000000DSP8UAO"":1,""a1C1I000000DSP6UAO"":1,""a1C1I000000DSP3UAO"":1,""a1C1I000000DSOUUA4"":1,""a1C1I000000DSP2UAO"":1,""a1C1I000000DSP5UAO"":1,""a1C1I000000DSP7UAO"":1,""a1C1I000000DSOvUAO"":1}",false,false,false,false,false,false,elijahcurtis@mailinator.com,,false,false,false,,false,Personal Greeting,,false,false,,,0,0,0,0,false,,,0,,,,,false,,,private,false,false,,,,,GB,,GB,,0034W000029mQI5QAM,2014-07-15,,,25,165,,Student Membership,false,,,,,false,false,,,,,,,,,,,0014W000021fm1CQAQ,,,,,,
0034W00002AU8VwQAL,false,,0014W000021fm1CQAQ,Evans,May,,May Evans,5  CHESSINGTON WAY,WEST WICKHAM,,BR4 9NY,United Kingdom,,,,[object Object],6 LUBBOCK COURT  LUBBOCK ROAD,CHISLEHURST,,BR7 5JW,United Kingdom,51.411539642720086,0.053469393456916745,ExtendedZip,+44 9333 439621,,+44 9333 439621,,,,,mayevans@mailinator.com,Team Leader,,,,,,false,false,false,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,,,,,,,,false,/services/images/photo/0034W00002AU8VwQAL,,,,,0,false,false,,FON-Volunteer Badge,false,true,20,false,false,false,,,false,mayevans@mailinator.com,,Personal,mayevans@mailinator.com,Mobile,+44 9333 439621,"{""a1C1I000000DSQJUA4"":1,""a1C1I000000DSQ1UAO"":1,""a1C1I000000DSPvUAO"":1,""a1C1I000000DSPyUAO"":1,""a1C1I000000DSOZUA4"":1}",false,false,true,true,false,false,mayevans@mailinator.com,,false,false,false,,false,Personal Greeting,,false,false,,,0,0,0,0,false,,,0,,,,,false,,,private,false,false,,,,,GB,,GB,,0034W000029mQI6QAM,,,,105,15000,,,false,,,,,false,false,,,,,,,,,,,0014W000021fm1CQAQ,,,,,,
0034W00002AU8VxQAL,false,,0014W000021fm1DQAQ,Norris,Ricardo,,Ricardo Norris,3245 Rosanna St,Las Vegas,Nevada,89117,United States,,,,[object Object],353 Baronne St,New Orleans,Louisiana,70112,United States,29.951288,-90.073067,Address,(856)-482-9196,,(856)-482-9196,,,,,ricardonorris@mailinator.com,Assistant manager,,,,,,false,false,false,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,,,,,,,,false,/services/images/photo/0034W00002AU8VxQAL,,,,,25,false,false,,"FON-Annual Conference Attendee Badge,FON-Individual Member Badge,FON-Organizational Member Badge",false,false,125,false,false,false,,,false,ricardonorris@mailinator.com,,Personal,ricardonorris@mailinator.com,Mobile,(856)-482-9196,"{""a1C1I000000DSQZUA4"":1,""a1C1I000000DSP9UAO"":1,""a1C1I000000DSP7UAO"":1,""a1C1I000000DSP4UAO"":1,""a1C1I000000DSP0UAO"":1,""a1C1I000000DSOTUA4"":1,""a1C1I000000DSOyUAO"":1,""a1C1I000000DSP2UAO"":1,""a1C1I000000DSP6UAO"":1,""a1C1I000000DSP8UAO"":1,""a1C1I000000DSOuUAO"":1}",false,false,false,false,false,false,ricardonorris@mailinator.com,,false,false,false,,false,Personal Greeting,,false,false,,,0,0,0,0,false,,,0,,,,,false,,,private,false,false,,,,NV,US,LA,US,,0034W000029mQI7QAM,2015-10-06,,,,415,,Student Membership,false,,,,,false,false,,,,,,,,,,,0014W000021fm1DQAQ,,,,,,
0034W00002AU8VyQAL,false,,0014W000021fm1DQAQ,Carr,Matilda,,Matilda Carr,1401 W Green St,Urbana,Illinois,61801,United States,,,,[object Object],43900 Girdland Court,Ashburn,Virginia,20147,United States,39.042462,-77.481218,Address,(682)-147-1081,,(682)-147-1081,,,,,matildacarr@mailinator.com,President,,,,,,false,false,false,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,,,,,,,,false,/services/images/photo/0034W00002AU8VyQAL,,,,,,false,false,,FON-Organizational Member Badge,false,false,,false,false,false,,,false,matildacarr@mailinator.com,,Personal,matildacarr@mailinator.com,Mobile,(682)-147-1081,"{""a1C1I000000DSOcUAO"":1,""a1C1I000000DSQFUA4"":1}",false,false,false,false,false,false,matildacarr@mailinator.com,,false,false,false,,false,Personal Greeting,,false,false,,,0,0,0,0,false,,,0,,,,,false,,,private,false,false,,,,IL,US,VA,US,,0034W000029mQI8QAM,,,,50,10,,,false,,,,,false,false,,,,,,,,,,,0014W000021fm1DQAQ,,,,,,
0034W00002AU8VzQAL,false,,0014W000021fm1DQAQ,Neal,Lucinda,,Lucinda Neal,3368 Black Creek Rd,Muskegon,Michigan,49444,United States,,,,[object Object],40 Macs Harbor Ct,Stratford,Connecticut,6615,United States,41.183934,-73.127315,Block,(975)-998-8026,,(975)-998-8026,,,,,lucindaneal@mailinator.com,,,,,,,false,false,false,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,,,,,,,,false,/services/images/photo/0034W00002AU8VzQAL,,,,,25,false,false,,"FON-Annual Conference Attendee Badge,FON-Individual Member Badge,FON-Organizational Member Badge,FON-Volunteer Badge",false,false,145,false,false,false,,,false,lucindaneal@mailinator.com,,Personal,lucindaneal@mailinator.com,Mobile,(975)-998-8026,"{""a1C1I000000DSPYUA4"":1,""a1C1I000000DSPVUA4"":1,""a1C1I000000DSPSUA4"":1,""a1C1I000000DSQZUA4"":1,""a1C1I000000DSOYUA4"":1,""a1C1I000000DSPTUA4"":1,""a1C1I000000DSPXUA4"":1}",false,false,false,false,false,false,lucindaneal@mailinator.com,,false,false,false,,false,Personal Greeting,,false,false,,,0,0,0,0,false,,,0,,,,,false,,,private,false,false,,,,MI,US,CT,US,,0034W000029mQI9QAM,2015-06-27,,,,255,,Student Membership,false,,,,,false,false,,,,,,,,,,,0014W000021fm1DQAQ,,,,,,
