Id,IsDeleted,Name,External_Id__c,CreatedDate,LastModifiedDate,SystemModstamp,OrderApi__Sales_Order__c,OrderApi__Account__c,OrderApi__Activation_Date__c,OrderApi__Active_Assignments__c,OrderApi__Assignments_Allowed__c,OrderApi__Assignments_Available__c,OrderApi__Auto_Assign_Account_Contacts__c,OrderApi__Auto_Assign_Contact__c,OrderApi__Auto_Assign_Rule__c,OrderApi__Auto_Assign__c,OrderApi__Auto_Calculate_Activation_Date__c,OrderApi__Business_Group__c,OrderApi__Calculate_Shipping_Details__c,OrderApi__Contact__c,OrderApi__Disable_Scheduling__c,OrderApi__Enable_Auto_Renew__c,OrderApi__End_Date__c,OrderApi__Entity__c,OrderApi__GL_Account__c,OrderApi__Is_Amendment__c,OrderApi__Is_Installment_Calculated__c,OrderApi__Is_Posted__c,OrderApi__Is_Renewal__c,OrderApi__Is_Required_Package_Item__c,OrderApi__Is_Shipping_Rate__c,OrderApi__Is_Subscription__c,OrderApi__Is_Tax__c,OrderApi__Is_Valid__c,OrderApi__Item_Class__c,OrderApi__Item__c,OrderApi__Line_Description__c,OrderApi__List_Price__c,OrderApi__Package_Item__c,OrderApi__Payment_Method__c,OrderApi__Price_Override__c,OrderApi__Price_Rule__c,OrderApi__Quantity__c,OrderApi__Required_Package_Items__c,OrderApi__Sale_Price__c,OrderApi__Sales_Order_Line__c,OrderApi__Shipping_City__c,OrderApi__Shipping_Contact__c,OrderApi__Shipping_Country__c,OrderApi__Shipping_Method__c,OrderApi__Shipping_Postal_Code__c,OrderApi__Shipping_State__c,OrderApi__Shipping_Street__c,OrderApi__Shipping_Tracking_Number__c,OrderApi__Subscription_Plan__c,OrderApi__Subscription__c,OrderApi__Subtotal__c,OrderApi__System_Override__c,OrderApi__Tax_Override__c,OrderApi__Tax_Percent__c,OrderApi__Total_Installment_Price__c,OrderApi__Total__c,EventApi__Attendee__c,EventApi__Event__c,EventApi__Schedule_Item__c,EventApi__Sponsor_Package__c,EventApi__Ticket_Type__c,ROEApi__Group_Registration_Key__c,DonorApi__Tax_Deductible_Amount__c,DonorApi__Write_In__c,ProgramApi__Program_Profile__c,ProgramApi__Program_Term__c,OrderApi__Do_Not_Collect_Payment__c,EventApi__Is_Required_Schedule_Item__c,OrderApi__Display_Item__c,OrderApi__Foreign_Key__c,OrderApi__Incomplete__c,OrderApi__Parent_Foreign_Key__c,OrderApi__Subscription_Start_Date__c,OrderApi__Item_Tax_Percent__c,OrderApi__Parent_Is_Installment_Calculated__c,OrderApi__Parent_Total_Installment_Price__c,OrderApi__Parent_Total__c,OrderApi__Tax_Amount__c,OrderApi__Total_with_Tax__c,OrderApi__AR_Account__c,OrderApi__Adjustment_Reason__c,OrderApi__Adjustments__c,OrderApi__Amount_Paid__c,OrderApi__Amount_Refunded__c,OrderApi__Balance_Due__c,OrderApi__Credit_Note__c,OrderApi__Credits_Applied__c,OrderApi__Deferred_Revenue_Adjustment__c,OrderApi__Is_Adjustment__c,OrderApi__Is_Line_Posted__c,OrderApi__Payment_Priority__c,OrderApi__Posted_Date__c,OrderApi__Credit_Memo__c,OrderApi__Item_Name__c,OrderApi__Overall_Total__c,Revenue_Category__c,Revenue_Subcategory__c,Program_Term_Is_Maintenance__c,OrderApi__Sales_Order__r.External_Id__c,OrderApi__Account__r.External_Id__c,OrderApi__Business_Group__r.Name,OrderApi__Contact__r.External_Id__c,OrderApi__GL_Account__r.Name,OrderApi__Item_Class__r.Name,OrderApi__Item__r.External_Id__c,OrderApi__Package_Item__r.External_Id__c,OrderApi__Payment_Method__r.External_Id__c,OrderApi__Price_Rule__r.External_Id__c,OrderApi__Sales_Order_Line__r.External_Id__c,OrderApi__Shipping_Method__r.Name,OrderApi__Subscription_Plan__r.Name,OrderApi__Subscription__r.External_Id__c,EventApi__Attendee__r.External_Id__c,EventApi__Event__r.Name,EventApi__Schedule_Item__r.External_Id__c,EventApi__Sponsor_Package__r.Name,EventApi__Ticket_Type__r.External_Id__c,ProgramApi__Program_Profile__r.Name,ProgramApi__Program_Term__r.Name,OrderApi__AR_Account__r.Name,OrderApi__Credit_Note__r.External_Id__c,OrderApi__Credit_Memo__r.Name
a1I4W00000H4JsmUAF,false,0000004690,1549,2020-08-28T02:16:22.000+0000,2020-09-28T06:19:06.000+0000,2020-09-28T06:19:06.000+0000,a1J4W00000CvxBiUAJ,0014W000021flzSQAQ,,0,,,false,false,,false,true,a0o4W00000MOvweQAD,true,0034W00002AU8UXQA1,false,false,,Contact,a104W00000FuSwmQAF,false,false,true,false,false,false,false,false,true,a134W000008hIDCQA2,a154W000008mjp0QAA,Book,100,,,false,a1C4W000006w74CUAQ,3,0,100,,Northeast,Gerald Frank,United States,,20017,Washington DC,3110 10th street,,,,300,false,false,0,0,300,,,,,,,0,,,,false,false,false,u1ZkCYgwAFPC9sUVhNX8lzheBubW7M,false,,,0,false,0,0,,,a104W00000FuSwkQAF,,,,,,,,false,false,false,,,,,,,,false,738,87,FON-International Association,281,4000 - Income,FON-Publication Class,536,,,349,,,,,,,,,,,,1100 - Accounts Receivable,,
a1I4W00000H4JsnUAF,false,0000004691,1550,2020-08-28T02:16:22.000+0000,2020-09-28T06:19:06.000+0000,2020-09-28T06:19:06.000+0000,a1J4W00000CvxBiUAJ,0014W000021flzSQAQ,,0,,,false,false,,false,true,a0o4W00000MOvweQAD,true,0034W00002AU8UXQA1,false,false,,Contact,a104W00000FuSwmQAF,false,false,true,false,false,false,false,false,true,a134W000008hIDDQA2,a154W000008mjp1QAA,Water Bottle (3 Pack),30,,,false,a1C4W000006w73zUAA,1,0,30,,Northeast,Gerald Frank,United States,,20017,Washington DC,3110 10th street,,,,30,false,false,0,0,30,,,,,,,0,,,,false,false,false,2f3qIENPuBCjuwDZ49mQlDFAhvT5JQ,false,,,0,false,0,0,,,a104W00000FuSwkQAF,,,,,,,,false,false,false,,,,,,,,false,738,87,FON-International Association,281,4000 - Income,FON-Merchandise Class,535,,,348,,,,,,,,,,,,1100 - Accounts Receivable,,
a1I4W00000H4JsoUAF,false,0000004692,1641,2020-08-28T02:16:22.000+0000,2020-09-28T06:19:07.000+0000,2020-09-28T06:19:07.000+0000,a1J4W00000CvxBiUAJ,0014W000021flzSQAQ,,0,,,false,false,,false,true,a0o4W00000MOvweQAD,true,0034W00002AU8UXQA1,false,false,,Contact,a104W00000FuSxEQAV,false,false,true,false,false,true,false,false,true,a134W000008hIDEQA2,a154W000008mjp2QAA,Fedex Regular - US,5,,,false,a1C4W000006w73JUAQ,1,0,5,,Northeast,Gerald Frank,United States,,20017,Washington DC,3110 10th street,,,,5,false,false,0,0,5,,,,,,,0,,,,false,false,false,VEQQf4sFCh53GB8YJvAXf5Or6d2nXu,false,,,0,false,0,0,,,a104W00000FuSwkQAF,,0,0,0,0,,0,false,false,false,,,,,0,,,false,738,87,FON-International Association,281,6055 - Shipping,FON-Fedex Shipping Carrier,114,,,550,,,,,,,,,,,,1100 - Accounts Receivable,,
a1I4W00000H4JspUAF,false,0000004693,1642,2020-08-28T02:16:22.000+0000,2020-09-28T06:19:07.000+0000,2020-09-28T06:19:07.000+0000,a1J4W00000CvxBjUAJ,0014W000021flzSQAQ,,1,,,false,true,Contact,true,true,a0o4W00000MOvweQAD,true,0034W00002AU8RyQAL,false,false,,Contact,a104W00000FuSwmQAF,false,false,true,false,false,false,false,false,true,a134W000008hIDFQA2,a154W000008mjp3QAA,VIP Registration (FON-Annual Symposium 2019 (Lightning Event)),200,,,false,a1C4W000006w73qUAA,1,0,200,,Northeast,Leila Simon,United States,,20017,Washington DC,3110 10th street,,,,200,false,false,0,0,200,,a1Y4W000002bRy4UAE,,,a1j4W00000RiPmEQAV,,0,,,,false,false,false,jxoQT4qdLY0ZxWXOCPDi6RFEfjYdN6,false,,,0,false,0,0,,,a104W00000FuSwkQAF,,0,0,0,0,,0,false,false,false,,,,VIP Registration (FON-Annual Symposium 2019 (Lightning Event)),0,,,false,739,87,FON-International Association,296,4000 - Income,b96c16d1-d3ec-4-Ticket Class,147,,,36,,,,,,FON-Annual Symposium 2019 (Lightning Event),,,29,,,1100 - Accounts Receivable,,
a1I4W00000H4JsqUAF,false,0000004694,1643,2020-08-28T02:16:22.000+0000,2020-09-28T06:19:07.000+0000,2020-09-28T06:19:07.000+0000,a1J4W00000CvxBjUAJ,0014W000021flzSQAQ,,1,,,false,true,Contact,true,true,a0o4W00000MOvweQAD,true,0034W00002AU8RyQAL,false,false,,Contact,a104W00000FuSwmQAF,false,false,true,false,false,false,false,false,true,a134W000008hIDGQA2,a154W000008mjp6QAA,Advanced Discussion,25,,,false,a1C4W000006w73rUAA,1,0,25,a1I4W00000H4JspUAF,Northeast,Leila Simon,United States,,20017,Washington DC,3110 10th street,,,,25,false,false,0,0,25,,a1Y4W000002bRy4UAE,a1d4W00000ivfcGQAQ,,,,0,,,,false,false,false,Wng2YhZ7TZ2wLwIvhcBAtuUNbfYAGq,false,,,0,false,0,200,,,a104W00000FuSwkQAF,,0,0,0,0,,0,false,false,false,,,,Advanced Discussion,0,,,false,739,87,FON-International Association,296,4000 - Income,b96c16d1-d3ec-4-Schedule Class,184,,,44,1642,,,,,FON-Annual Symposium 2019 (Lightning Event),17,,,,,1100 - Accounts Receivable,,
a1I4W00000H4JsrUAF,false,0000004695,1644,2020-08-28T02:16:22.000+0000,2020-09-28T06:19:07.000+0000,2020-09-28T06:19:07.000+0000,a1J4W00000CvxBjUAJ,0014W000021flzSQAQ,,1,,,false,true,Contact,true,true,a0o4W00000MOvweQAD,true,0034W00002AU8RyQAL,false,false,,Contact,a104W00000FuSwmQAF,false,false,true,false,false,false,false,false,true,a134W000008hIDGQA2,a154W000008mjp5QAA,Keynote Speech,0,,,false,a1C4W000006w73sUAA,1,0,0,a1I4W00000H4JspUAF,Northeast,Leila Simon,United States,,20017,Washington DC,3110 10th street,,,,0,false,false,0,0,0,,a1Y4W000002bRy4UAE,a1d4W00000ivfcBQAQ,,,,0,,,,false,false,false,R2ltvI1hs5tNwYfX4st7L8UKKfvxyo,false,,,0,false,0,200,,,a104W00000FuSwkQAF,,0,0,0,0,,0,false,false,false,,,,Keynote Speech,0,,,false,739,87,FON-International Association,296,4000 - Income,b96c16d1-d3ec-4-Schedule Class,151,,,39,1642,,,,,FON-Annual Symposium 2019 (Lightning Event),12,,,,,1100 - Accounts Receivable,,
a1I4W00000H4JssUAF,false,0000004696,1645,2020-08-28T02:16:22.000+0000,2020-09-28T06:19:07.000+0000,2020-09-28T06:19:07.000+0000,a1J4W00000CvxBjUAJ,0014W000021flzSQAQ,,1,,,false,true,Contact,true,true,a0o4W00000MOvweQAD,true,0034W00002AU8RyQAL,false,false,,Contact,a104W00000FuSwmQAF,false,false,true,false,false,false,false,false,true,a134W000008hIDGQA2,a154W000008mjp4QAA,Leadership Workshop,25,,,false,a1C4W000006w73tUAA,1,0,25,a1I4W00000H4JspUAF,Northeast,Leila Simon,United States,,20017,Washington DC,3110 10th street,,,,25,false,false,0,0,25,,a1Y4W000002bRy4UAE,a1d4W00000ivfcEQAQ,,,,0,,,,false,false,false,sHymjgJVuEatlyE0yQMNZjtMwPmOL2,false,,,0,false,0,200,,,a104W00000FuSwkQAF,,0,0,0,0,,0,false,false,false,,,,Leadership Workshop,0,,,false,739,87,FON-International Association,296,4000 - Income,b96c16d1-d3ec-4-Schedule Class,148,,,42,1642,,,,,FON-Annual Symposium 2019 (Lightning Event),15,,,,,1100 - Accounts Receivable,,
a1I4W00000H4JstUAF,false,0000004697,1646,2020-08-28T02:16:22.000+0000,2020-09-28T06:19:07.000+0000,2020-09-28T06:19:07.000+0000,a1J4W00000CvxBjUAJ,0014W000021flzSQAQ,,1,,,false,true,Contact,true,true,a0o4W00000MOvweQAD,true,0034W00002AU8RyQAL,false,false,,Contact,a104W00000FuSwmQAF,false,false,true,false,false,false,false,false,true,a134W000008hIDGQA2,a154W000008mjp8QAA,Round Table Discussion I,0,,,false,a1C4W000006w73uUAA,1,0,0,a1I4W00000H4JspUAF,Northeast,Leila Simon,United States,,20017,Washington DC,3110 10th street,,,,0,false,false,0,0,0,,a1Y4W000002bRy4UAE,a1d4W00000ivfcDQAQ,,,,0,,,,false,false,false,cPKnTDJOjF40rVPgfiwL0U1GzBfBVD,false,,,0,false,0,200,,,a104W00000FuSwkQAF,,0,0,0,0,,0,false,false,false,,,,Round Table Discussion I,0,,,false,739,87,FON-International Association,296,4000 - Income,b96c16d1-d3ec-4-Schedule Class,153,,,41,1642,,,,,FON-Annual Symposium 2019 (Lightning Event),14,,,,,1100 - Accounts Receivable,,
a1I4W00000H4JsuUAF,false,0000004698,1647,2020-08-28T02:16:22.000+0000,2020-09-28T06:19:07.000+0000,2020-09-28T06:19:07.000+0000,a1J4W00000CvxBjUAJ,0014W000021flzSQAQ,,1,,,false,true,Contact,true,true,a0o4W00000MOvweQAD,true,0034W00002AU8RyQAL,false,false,,Contact,a104W00000FuSwmQAF,false,false,true,false,false,false,false,false,true,a134W000008hIDGQA2,a154W000008mjp7QAA,Round Table Discussion II,0,,,false,a1C4W000006w73vUAA,1,0,0,a1I4W00000H4JspUAF,Northeast,Leila Simon,United States,,20017,Washington DC,3110 10th street,,,,0,false,false,0,0,0,,a1Y4W000002bRy4UAE,a1d4W00000ivfcIQAQ,,,,0,,,,false,false,false,t4r7QsZWbPHO9gIMOC7ZgrMPnSa8kB,false,,,0,false,0,200,,,a104W00000FuSwkQAF,,0,0,0,0,,0,false,false,false,,,,Round Table Discussion II,0,,,false,739,87,FON-International Association,296,4000 - Income,b96c16d1-d3ec-4-Schedule Class,186,,,46,1642,,,,,FON-Annual Symposium 2019 (Lightning Event),28,,,,,1100 - Accounts Receivable,,
a1I4W00000H4JsvUAF,false,0000004699,1648,2020-08-28T02:16:22.000+0000,2020-09-28T06:19:07.000+0000,2020-09-28T06:19:07.000+0000,a1J4W00000CvxBkUAJ,0014W000021fm1QQAQ,2019-08-02,0,,,false,false,,false,true,a0o4W00000MOvweQAD,false,0034W00002AU8WqQAL,false,false,2020-08-01,Contact,a104W00000FuSxAQAV,false,false,false,false,false,false,true,false,true,a134W000008hIDHQA2,a154W000008mjp9QAA,Associate Membership,150,,,false,a1C4W000006w73gUAA,1,0,150,,,,,,,,,,a1R4W0000048ZSLUA2,,150,false,false,0,0,150,,,,,,,0,,,,false,false,false,yGHqwlpPKwo6MeTmdDZCfqUkg8oPwm,false,,2019-08-02,0,false,0,0,,,a104W00000FuSwkQAF,,0,0,0,0,,0,false,false,false,,,,Associate Membership,0,,,false,740,63,FON-International Association,249,4200 - Individual Membership Income,FON-Individual Memberships,545,,,492,,,FON-1 Year Anniversary,,,,,,,,,1100 - Accounts Receivable,,
a1I4W00000H4JswUAF,false,0000004703,1649,2020-08-28T02:16:22.000+0000,2020-09-28T06:19:07.000+0000,2020-09-28T06:19:07.000+0000,a1J4W00000CvxBnUAJ,0014W000021flzTQAQ,,0,,,false,false,,false,true,a0o4W00000MOvweQAD,true,0034W00002AU8S8QAL,false,false,,Account,a104W00000FuSwmQAF,false,false,true,false,false,false,false,false,true,a134W000008hIDIQA2,a154W000008mjpBQAQ,FON-5 deep x 10 wide,975,,,false,a1C4W000006w74GUAQ,1,0,975,,Stratford,Jerome Bates,United States,,6615,Connecticut,40 Macs Harbor Ct,,,,975,false,false,0,0,975,,,,,,,0,,,,false,false,false,eQAbIVdPoStNfrW19rWNR0f40f3uqh,false,,,0,false,0,0,,,a104W00000FuSwkQAF,,0,0,0,0,,0,false,false,false,,,,,0,,,false,743,82,FON-International Association,181,4000 - Income,FON-Booths,36,,,524,,,,,,,,,,,,1100 - Accounts Receivable,,
